cat_no,cat_nm,item_cd,item_nm,ssg_price,unit,rate,rate_cnt
6000098014,면류/즉석식품/소스/오일,2097000930077,[잭스빈] 후무스 로스티드갈릭,"5,000",,별점 4.53점,(160개)
6000098014,면류/즉석식품/소스/오일,2097000889917,[데체코] 폴파 파인 400g,"2,900",,별점 4.9점,(119개)
6000098014,면류/즉석식품/소스/오일,0000006609543,[오뚜기] 프레스코 스파게티 500g,"2,280",(100g당:456원),별점 4.94점,"(50,809개)"
6000098014,면류/즉석식품/소스/오일,1000018071328,[노브랜드] 홈스타일 크림 스파게티 소스 400g,"1,780",(100g당:445원),별점 4.83점,"(31,388개)"
6000098014,면류/즉석식품/소스/오일,1000018071327,[노브랜드] 홈스타일 토마토 스파게티 소스 400g,"1,780",(100g당:445원),별점 4.89점,"(24,091개)"
6000098014,면류/즉석식품/소스/오일,0000006609427,[오뚜기] 골드 마요네즈 (300g),"2,450",(100g당:817원),별점 4.95점,"(47,770개)"
6000098014,면류/즉석식품/소스/오일,1000014419065,[Fontana] 폰타나 크림파스타소스430g (베이컨&머쉬룸),"5,480","(100g당:1,275원)",별점 4.9점,"(13,257개)"
6000098014,면류/즉석식품/소스/오일,0000007922852,[REINE DIJON] 홀 그레인 머스타드 190g,"4,180","(100g당:2,200원)",별점 4.91점,"(8,013개)"
6000098014,면류/즉석식품/소스/오일,0000009014178,[농심] 김치 사발면 (86gx6),"4,200",(1개당:700원),별점 4.94점,"(40,333개)"
6000098014,면류/즉석식품/소스/오일,1000014419054,폰타나 토마토파스타소스 430g,"4,180",(100g당:973원),별점 4.91점,"(7,885개)"
6000098014,면류/즉석식품/소스/오일,1000018777796,[노브랜드] 칼국수 생면 1kg,"3,180",(100g당:318원),별점 4.88점,"(13,843개)"
6000098014,면류/즉석식품/소스/오일,1000045521224,노브랜드슬라이스피클720ml,"2,080",(10ml당:29원),별점 4.79점,"(6,159개)"
6000098014,면류/즉석식품/소스/오일,1000016210954,[노브랜드] 국수 소면 500g,980,(100g당:196원),별점 4.93점,"(34,440개)"
6000098014,면류/즉석식품/소스/오일,0000008549264,[삼양] 불닭 볶음면 (140gx5입),"3,980",(1개당:796원),별점 4.94점,"(43,988개)"
6000098014,면류/즉석식품/소스/오일,0000006615198,다담 순두부 찌개양념(140g),"1,480","(100g당:1,058원)",별점 4.93점,"(25,772개)"
